dia_busqueda,origen,destino,hora_salida,hora_llegada,duracion,num_vuelo,aerolinea,cod_aerolinea,precio
2019-04-15,Barcelona,London Gatwick,2019-09-23T12:35:00,2019-09-23T13:55:00,140,8072,Vueling Airlines,VY,103.43
2019-04-15,Barcelona,London Luton,2019-09-23T19:50:00,2019-09-23T21:05:00,135,7808,Ryanair,FR,64.25
2019-04-15,Barcelona,London Gatwick,2019-09-23T17:25:00,2019-09-23T18:45:00,140,8070,Vueling Airlines,VY,103.43
2019-04-15,Barcelona,London Stansted,2019-09-23T06:20:00,2019-09-23T07:50:00,150,9811,Ryanair,FR,28.55
2019-04-15,Barcelona,London Heathrow,2019-09-23T18:20:00,2019-09-23T19:40:00,140,481,British Airways,BA,92.09
2019-04-15,Barcelona,London Gatwick,2019-09-23T19:00:00,2019-09-23T20:20:00,140,7820,Vueling Airlines,VY,69.76
2019-04-15,Barcelona,London Stansted,2019-09-23T10:50:00,2019-09-23T12:20:00,150,9045,Ryanair,FR,44.87
2019-04-15,Barcelona,London Gatwick,2019-09-23T19:40:00,2019-09-23T21:00:00,140,8074,Vueling Airlines,VY,103.43
2019-04-15,Barcelona,London Stansted,2019-09-23T14:20:00,2019-09-23T15:50:00,150,9015,Ryanair,FR,76.49
2019-04-15,Barcelona,London Gatwick,2019-09-23T07:35:00,2019-09-23T08:55:00,140,8068,Vueling Airlines,VY,85.97
2019-04-15,Barcelona,London Gatwick,2019-09-23T07:05:00,2019-09-23T08:25:00,140,8079,Vueling Airlines,VY,85.97
2019-04-15,Barcelona,London Heathrow,2019-09-23T13:35:00,2019-09-23T14:55:00,140,485,British Airways,BA,110.43
2019-04-15,Barcelona,London Heathrow,2019-09-23T20:05:00,2019-09-23T21:25:00,140,407,British Airways,BA,74.63
2019-04-15,Barcelona,London Gatwick,2019-09-23T17:25:00,2019-09-23T18:40:00,135,5502,Norwegian Air International,D8,47.76
2019-04-15,Barcelona,London Luton,2019-09-30T19:50:00,2019-09-30T21:05:00,135,7808,Ryanair,FR,54.05
2019-04-15,Barcelona,London Gatwick,2019-09-30T10:50:00,2019-09-30T12:10:00,140,7836,Vueling Airlines,VY,90.42
2019-04-15,Barcelona,London Gatwick,2019-09-30T10:50:00,2019-09-30T12:10:00,140,5705,Vueling Airlines,VY,107.34
2019-04-15,Barcelona,London Heathrow,2019-09-30T07:10:00,2019-09-30T08:35:00,145,7478,British Airways,BA,118.57
2019-04-15,Barcelona,London Heathrow,2019-09-30T13:35:00,2019-09-30T14:55:00,140,7485,British Airways,BA,152.67
2019-04-15,Barcelona,London Gatwick,2019-09-30T18:00:00,2019-09-30T19:25:00,145,8580,easyJet,EZY,101.81
2019-04-15,Barcelona,London Gatwick,2019-09-30T19:00:00,2019-09-30T20:20:00,140,5118,Vueling Airlines,VY,107.34
2019-04-15,Barcelona,London Gatwick,2019-09-30T19:00:00,2019-09-30T20:20:00,140,7820,Vueling Airlines,VY,81.71
2019-04-15,Barcelona,London Heathrow,2019-09-30T18:20:00,2019-09-30T19:40:00,140,481,British Airways,BA,149.95
2019-04-15,Barcelona,London Stansted,2019-09-30T06:20:00,2019-09-30T07:50:00,150,9811,Ryanair,FR,37.73
2019-04-15,Barcelona,London Gatwick,2019-09-30T07:35:00,2019-09-30T08:55:00,140,5198,Vueling Airlines,VY,107.34
2019-04-15,Barcelona,London Heathrow,2019-09-30T07:10:00,2019-09-30T08:35:00,145,477,British Airways,BA,149.95
2019-04-15,Barcelona,London Heathrow,2019-09-30T14:50:00,2019-09-30T16:10:00,140,7477,British Airways,BA,152.67
2019-04-15,Barcelona,London Gatwick,2019-09-30T07:05:00,2019-09-30T08:25:00,140,5047,Vueling Airlines,VY,116.59
2019-04-15,Barcelona,London Heathrow,2019-09-30T13:35:00,2019-09-30T14:55:00,140,485,British Airways,BA,149.95
2019-04-15,Barcelona,London Gatwick,2019-09-30T19:40:00,2019-09-30T21:00:00,140,8074,Vueling Airlines,VY,118.94
2019-04-15,Barcelona,London Gatwick,2019-09-30T20:30:00,2019-09-30T21:55:00,145,8578,easyJet,EZY,104.08
2019-04-15,Barcelona,London Stansted,2019-09-30T18:40:00,2019-09-30T20:10:00,150,9815,Ryanair,FR,44.87
2019-04-15,Barcelona,London Stansted,2019-09-30T14:20:00,2019-09-30T15:50:00,150,9015,Ryanair,FR,64.25
2019-04-15,Barcelona,London Gatwick,2019-09-30T17:25:00,2019-09-30T18:45:00,140,5521,Vueling Airlines,VY,107.34
2019-04-15,Barcelona,London Heathrow,2019-09-30T20:35:00,2019-09-30T21:50:00,135,487,British Airways,BA,113.68
2019-04-15,Barcelona,London Gatwick,2019-09-30T19:40:00,2019-09-30T21:00:00,140,7828,Vueling Airlines,VY,90.42
2019-04-15,Barcelona,London Southend,2019-09-30T20:55:00,2019-09-30T22:15:00,140,7382,easyJet,EZY,82.82
2019-04-15,Barcelona,London Gatwick,2019-09-30T17:25:00,2019-09-30T18:45:00,140,7824,Vueling Airlines,VY,81.71
2019-04-15,Barcelona,London Luton,2019-09-30T21:40:00,2019-09-30T23:00:00,140,2268,easyJet,EZY,91.52
2019-04-15,Barcelona,London Gatwick,2019-09-30T17:25:00,2019-09-30T18:45:00,140,8070,Vueling Airlines,VY,98.95
2019-04-15,Barcelona,London Gatwick,2019-09-30T11:15:00,2019-09-30T12:45:00,150,8572,easyJet,EZY,119.35
2019-04-15,Barcelona,London Heathrow,2019-09-30T14:50:00,2019-09-30T16:10:00,140,475,British Airways,BA,149.95
2019-04-15,Barcelona,London Heathrow,2019-09-30T11:40:00,2019-09-30T13:05:00,145,479,British Airways,BA,149.95
2019-04-15,Barcelona,London Gatwick,2019-09-30T19:00:00,2019-09-30T20:20:00,140,8066,Vueling Airlines,VY,101.18
2019-04-15,Barcelona,London Gatwick,2019-09-30T07:10:00,2019-09-30T08:35:00,145,8570,easyJet,EZY,73.61
2019-04-15,Barcelona,London Heathrow,2019-09-30T20:05:00,2019-09-30T21:25:00,140,407,British Airways,BA,113.68
2019-04-15,Barcelona,London Luton,2019-09-30T10:50:00,2019-09-30T12:15:00,145,2264,easyJet,EZY,108.05
2019-04-15,Barcelona,London Gatwick,2019-09-30T17:25:00,2019-09-30T18:40:00,135,5502,Norwegian Air International,D8,94.65
2019-04-15,Barcelona,London Heathrow,2019-09-30T11:40:00,2019-09-30T13:05:00,145,7480,British Airways,BA,152.67
2019-04-15,Barcelona,London Stansted,2019-09-30T10:50:00,2019-09-30T12:20:00,150,9045,Ryanair,FR,44.87
2019-04-15,Barcelona,London Gatwick,2019-09-30T15:20:00,2019-09-30T16:50:00,150,8574,easyJet,EZY,119.35
2019-04-15,Barcelona,London Gatwick,2019-09-30T07:05:00,2019-09-30T08:25:00,140,8079,Vueling Airlines,VY,116.09
2019-04-15,Barcelona,London Heathrow,2019-09-30T20:35:00,2019-09-30T21:50:00,135,7487,British Airways,BA,118.57
2019-04-15,Barcelona,London Gatwick,2019-09-30T12:35:00,2019-09-30T13:55:00,140,5254,Vueling Airlines,VY,116.2
2019-04-15,Barcelona,London Luton,2019-09-30T16:35:00,2019-09-30T18:00:00,145,2266,easyJet,EZY,104.08
