dia_busqueda,origen,destino,hora_salida,hora_llegada,duracion,num_vuelo,aerolinea,cod_aerolinea,precio
2019-04-03,Barcelona,Paris Orly,2019-08-28T17:35:00,2019-08-28T19:25:00,110,8020,Vueling Airlines,VY,219.17
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-08-28T12:20:00,2019-08-28T14:15:00,115,2207,Air France,AF,268.87
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-08-28T16:20:00,2019-08-28T18:25:00,125,8244,Vueling Airlines,VY,206.29
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-08-28T12:20:00,2019-08-28T14:15:00,115,1349,Air France,AF,197.46
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-08-28T18:05:00,2019-08-28T20:05:00,120,3922,easyJet,EZY,214.54
2019-04-03,Barcelona,Paris Orly,2019-08-28T20:20:00,2019-08-28T22:10:00,110,5278,Vueling Airlines,VY,197.14
2019-04-03,Barcelona,Paris Orly,2019-08-28T19:20:00,2019-08-28T21:10:00,110,8022,Vueling Airlines,VY,219.17
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-08-28T10:05:00,2019-08-28T12:05:00,120,2253,Air France,AF,268.87
2019-04-03,Barcelona,Paris Orly,2019-08-28T08:20:00,2019-08-28T10:10:00,110,5754,Vueling Airlines,VY,197.14
2019-04-03,Barcelona,Paris Orly,2019-08-28T06:00:00,2019-08-28T07:50:00,110,5266,Vueling Airlines,VY,197.14
2019-04-03,Barcelona,Paris Orly,2019-08-28T06:00:00,2019-08-28T07:50:00,110,8036,Vueling Airlines,VY,193.41
2019-04-03,Barcelona,Paris Orly,2019-08-28T14:05:00,2019-08-28T15:55:00,110,5088,Vueling Airlines,VY,235.48
2019-04-03,Barcelona,Paris Orly,2019-08-28T19:20:00,2019-08-28T21:10:00,110,5276,Vueling Airlines,VY,235.48
2019-04-03,Barcelona,Paris Orly,2019-08-28T09:35:00,2019-08-28T11:25:00,110,5038,Vueling Airlines,VY,197.14
2019-04-03,Barcelona,Paris Orly,2019-09-04T14:05:00,2019-09-04T15:55:00,110,5088,Vueling Airlines,VY,144.67
