id_oferta,id_vuelo,origen,destino,hora_salida,hora_llegada,duracion,num_vuelo,aerolinea,cod_aerolinea,escalas,precio
28,48,Lisbon,Paris Orly,2019-11-10T06:40:00,2019-11-10T10:15:00,155,434,TAP Air Portugal,TP,1,111.0
29,49,London Heathrow,Brussels International,2019-11-09T11:05:00,2019-11-09T13:10:00,65,5595,Brussels Airlines,SN,2,317.84
29,50,Brussels International,Frankfurt am Main,2019-11-09T15:05:00,2019-11-09T16:05:00,60,1013,Lufthansa,LH,2,317.84
29,51,Frankfurt am Main,Paris Charles de Gaulle,2019-11-09T17:40:00,2019-11-09T18:55:00,75,1046,Lufthansa,LH,2,317.84
30,52,London Heathrow,Frankfurt am Main,2019-11-09T07:30:00,2019-11-09T10:05:00,95,923,Lufthansa,LH,1,256.14
30,53,Frankfurt am Main,Paris Charles de Gaulle,2019-11-09T12:10:00,2019-11-09T13:25:00,75,1034,Lufthansa,LH,1,256.14
31,54,London Gatwick,Madrid,2019-11-09T09:55:00,2019-11-09T13:20:00,145,1014,Air Europa,UX,1,77.6
31,55,Madrid,Paris Orly,2019-11-09T17:20:00,2019-11-09T19:20:00,120,1025,Air Europa,UX,1,77.6
32,56,London Heathrow,Stockholm Arlanda,2019-11-09T13:50:00,2019-11-09T17:20:00,150,532,SAS,SK,1,117.0
32,57,Stockholm Arlanda,Paris Charles de Gaulle,2019-11-10T10:05:00,2019-11-10T12:40:00,155,577,SAS,SK,1,117.0
33,58,London Gatwick,Barcelona,2019-11-09T21:00:00,2019-11-10T00:10:00,130,7821,Vueling Airlines,VY,1,82.0
33,59,Barcelona,Paris Charles de Gaulle,2019-11-10T07:50:00,2019-11-10T09:55:00,125,8242,Vueling Airlines,VY,1,82.0
34,60,London Gatwick,Paris Charles de Gaulle,2019-11-09T21:10:00,2019-11-09T23:25:00,75,8773,Vueling Airlines,VY,0,44.0
35,61,London Heathrow,Paris Charles de Gaulle,2019-11-09T15:35:00,2019-11-09T17:55:00,80,1781,Air France,AF,0,75.0
36,62,London Heathrow,Munich,2019-11-09T11:10:00,2019-11-09T13:55:00,105,2473,Lufthansa,LH,1,254.14
36,63,Munich,Paris Charles de Gaulle,2019-11-09T15:40:00,2019-11-09T17:15:00,95,2234,Lufthansa CityLine,CL,1,254.14
37,64,London Heathrow,Munich,2019-11-09T11:10:00,2019-11-09T13:55:00,105,2473,Lufthansa,LH,2,298.14
37,65,Munich,Frankfurt am Main,2019-11-09T15:00:00,2019-11-09T16:00:00,60,111,Lufthansa,LH,2,298.14
37,66,Frankfurt am Main,Paris Charles de Gaulle,2019-11-09T17:40:00,2019-11-09T18:55:00,75,1046,Lufthansa,LH,2,298.14
38,67,London Heathrow,Amsterdam,2019-11-09T16:25:00,2019-11-09T18:35:00,70,1018,KLM Cityhopper,WA,1,104.0
38,68,Amsterdam,Paris Charles de Gaulle,2019-11-09T20:30:00,2019-11-09T21:45:00,75,2023,Air France,AF,1,104.0
39,69,London Heathrow,Frankfurt am Main,2019-11-09T16:30:00,2019-11-09T19:05:00,95,911,Lufthansa,LH,1,256.14
39,70,Frankfurt am Main,Paris Charles de Gaulle,2019-11-09T20:50:00,2019-11-09T22:05:00,75,1050,Lufthansa,LH,1,256.14
40,71,London Heathrow,Frankfurt am Main,2019-11-09T10:30:00,2019-11-09T13:05:00,95,903,Lufthansa,LH,1,256.14
40,72,Frankfurt am Main,Paris Charles de Gaulle,2019-11-09T16:25:00,2019-11-09T17:40:00,75,1040,Lufthansa,LH,1,256.14
41,73,London Heathrow,Frankfurt am Main,2019-11-09T13:30:00,2019-11-09T16:05:00,95,907,Lufthansa,LH,2,298.14
41,74,Frankfurt am Main,Munich,2019-11-09T17:15:00,2019-11-09T18:10:00,55,114,Lufthansa,LH,2,298.14
41,75,Munich,Paris Charles de Gaulle,2019-11-09T19:25:00,2019-11-09T21:00:00,95,2236,Lufthansa,LH,2,298.14
42,76,London City,Lisbon,2019-11-09T10:15:00,2019-11-09T12:55:00,160,1345,Portugalia Airlines,NI,1,122.0
42,77,Lisbon,Paris Orly,2019-11-09T16:15:00,2019-11-09T19:45:00,150,438,TAP Air Portugal,TP,1,122.0
43,78,London Heathrow,Frankfurt am Main,2019-11-09T09:30:00,2019-11-09T12:05:00,95,901,Lufthansa,LH,2,298.14
43,79,Frankfurt am Main,Munich,2019-11-09T13:15:00,2019-11-09T14:10:00,55,106,Lufthansa,LH,2,298.14
43,80,Munich,Paris Charles de Gaulle,2019-11-09T15:40:00,2019-11-09T17:15:00,95,2234,Lufthansa CityLine,CL,2,298.14
44,81,London Gatwick,Paris Charles de Gaulle,2019-11-09T16:45:00,2019-11-09T19:00:00,75,8775,Vueling Airlines,VY,0,49.0
45,82,London Heathrow,Munich,2019-11-09T06:35:00,2019-11-09T09:20:00,105,2483,Lufthansa,LH,2,298.14
45,83,Munich,Frankfurt am Main,2019-11-09T10:00:00,2019-11-09T11:05:00,65,101,Lufthansa,LH,2,298.14
45,84,Frankfurt am Main,Paris Charles de Gaulle,2019-11-09T12:10:00,2019-11-09T13:25:00,75,1034,Lufthansa,LH,2,298.14
46,85,London Heathrow,Paris Charles de Gaulle,2019-11-09T15:05:00,2019-11-09T17:25:00,80,316,British Airways,BA,0,73.44
47,86,London Gatwick,Paris Charles de Gaulle,2019-11-09T12:55:00,2019-11-09T15:10:00,75,8779,Vueling Airlines,VY,0,49.0
48,87,London Heathrow,Frankfurt am Main,2019-11-09T08:30:00,2019-11-09T11:05:00,95,925,Lufthansa,LH,1,256.14
48,88,Frankfurt am Main,Paris Charles de Gaulle,2019-11-09T12:10:00,2019-11-09T13:25:00,75,1034,Lufthansa,LH,1,256.14
49,89,London Gatwick,Lisbon,2019-11-09T16:35:00,2019-11-09T19:10:00,155,1337,TAP Air Portugal,TP,1,119.0
49,90,Lisbon,Paris Orly,2019-11-10T06:40:00,2019-11-10T10:15:00,155,434,TAP Air Portugal,TP,1,119.0
50,91,London Heathrow,Amsterdam,2019-11-09T17:50:00,2019-11-09T20:10:00,80,1030,KLM Cityhopper,WA,1,83.8
50,92,Amsterdam,Paris Charles de Gaulle,2019-11-10T06:50:00,2019-11-10T08:10:00,80,1223,KLM,KL,1,83.8
51,93,London Heathrow,Amsterdam,2019-11-09T11:15:00,2019-11-09T13:30:00,75,1024,KLM,KL,1,110.0
51,94,Amsterdam,Paris Charles de Gaulle,2019-11-09T16:35:00,2019-11-09T17:50:00,75,1243,KLM,KL,1,110.0
